nn4sys,onnx/test_nano.onnx,vnnlib/test_nano.vnnlib,0,unsat,0
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_69.vnnlib,0,unsat,1.91,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_70.vnnlib,0,unsat,1.64,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_71.vnnlib,0,unsat,2,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_72.vnnlib,0,unsat,1.8,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_73.vnnlib,0,unsat,1.63,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_74.vnnlib,0,unsat,1.7,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_75.vnnlib,0,unsat,1.66,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_76.vnnlib,0,unsat,1.74,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_77.vnnlib,0,unsat,1.61,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_78.vnnlib,0,unsat,1.62,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_79.vnnlib,0,unsat,1.85,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_80.vnnlib,0,unsat,1.58,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_81.vnnlib,0,unsat,1.83,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_82.vnnlib,0,unsat,1.74,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_83.vnnlib,0,unsat,1.84,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_84.vnnlib,0,unsat,1.66,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_85.vnnlib,0,unsat,1.82,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_86.vnnlib,0,unsat,1.85,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_87.vnnlib,0,unsat,1.7,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_88.vnnlib,0,unsat,1.74,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_89.vnnlib,0,unsat,1.77,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_90.vnnlib,0,unsat,1.74,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_91.vnnlib,0,unsat,1.6,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_92.vnnlib,0,unsat,1.69,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_93.vnnlib,0,unsat,1.78,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_94.vnnlib,0,unsat,1.65,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_95.vnnlib,0,unsat,1.75,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_96.vnnlib,0,unsat,2.03,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_97.vnnlib,0,unsat,1.72,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_98.vnnlib,0,unsat,1.71,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_99.vnnlib,0,unsat,1.77,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_100.vnnlib,0,unsat,1.58,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_101.vnnlib,0,unsat,1.44,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_102.vnnlib,0,unsat,1.54,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_103.vnnlib,0,unsat,1.59,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_104.vnnlib,0,unsat,1.53,l1audit-20260804-d1282d23
nn4sys,onnx/lindex.onnx,vnnlib/lindex_1.vnnlib,0,unsat,0.41,l1audit-20260804-d1282d23
nn4sys,onnx/lindex_deep.onnx,vnnlib/lindex_1.vnnlib,0,unsat,0.51,l1audit-20260804-d1282d23
nn4sys,onnx/lindex.onnx,vnnlib/lindex_200.vnnlib,0,unsat,0.82,l1audit-20260804-d1282d23
nn4sys,onnx/lindex_deep.onnx,vnnlib/lindex_200.vnnlib,0,unsat,0.76,l1audit-20260804-d1282d23
nn4sys,onnx/lindex.onnx,vnnlib/lindex_400.vnnlib,0,unsat,0.29,l1audit-20260804-d1282d23
nn4sys,onnx/lindex_deep.onnx,vnnlib/lindex_400.vnnlib,0,unsat,0.39,l1audit-20260804-d1282d23
nn4sys,onnx/lindex.onnx,vnnlib/lindex_600.vnnlib,0,unsat,0.4,l1audit-20260804-d1282d23
nn4sys,onnx/lindex_deep.onnx,vnnlib/lindex_600.vnnlib,0,unsat,0.34,l1audit-20260804-d1282d23
nn4sys,onnx/lindex.onnx,vnnlib/lindex_800.vnnlib,0,unsat,0.42,l1audit-20260804-d1282d23
nn4sys,onnx/lindex_deep.onnx,vnnlib/lindex_800.vnnlib,0,unsat,0.4,l1audit-20260804-d1282d23
nn4sys,onnx/lindex.onnx,vnnlib/lindex_1000.vnnlib,0,unsat,0.43,l1audit-20260804-d1282d23
nn4sys,onnx/lindex_deep.onnx,vnnlib/lindex_1000.vnnlib,0,unsat,0.37,l1audit-20260804-d1282d23
nn4sys,onnx/lindex.onnx,vnnlib/lindex_3000.vnnlib,0,unsat,0.43,l1audit-20260804-d1282d23
nn4sys,onnx/lindex_deep.onnx,vnnlib/lindex_3000.vnnlib,0,unsat,0.39,l1audit-20260804-d1282d23
nn4sys,onnx/lindex.onnx,vnnlib/lindex_5000.vnnlib,0,unsat,0.48,l1audit-20260804-d1282d23
nn4sys,onnx/lindex_deep.onnx,vnnlib/lindex_5000.vnnlib,0,unsat,0.49,l1audit-20260804-d1282d23
nn4sys,onnx/lindex.onnx,vnnlib/lindex_7000.vnnlib,0,unsat,0.51,l1audit-20260804-d1282d23
nn4sys,onnx/lindex_deep.onnx,vnnlib/lindex_7000.vnnlib,0,unsat,0.84,l1audit-20260804-d1282d23
nn4sys,onnx/lindex.onnx,vnnlib/lindex_9000.vnnlib,0,unsat,0.76,l1audit-20260804-d1282d23
nn4sys,onnx/lindex_deep.onnx,vnnlib/lindex_9000.vnnlib,0,unsat,0.67,l1audit-20260804-d1282d23
nn4sys,onnx/lindex.onnx,vnnlib/lindex_10000.vnnlib,0,unsat,0.62,l1audit-20260804-d1282d23
nn4sys,onnx/lindex_deep.onnx,vnnlib/lindex_10000.vnnlib,0,unsat,0.72,l1audit-20260804-d1282d23
nn4sys,onnx/lindex.onnx,vnnlib/lindex_60000.vnnlib,0,unsat,3.13,l1audit-20260804-d1282d23
nn4sys,onnx/lindex_deep.onnx,vnnlib/lindex_60000.vnnlib,0,unsat,3.56,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d.onnx,vnnlib/cardinality_0_1_128.vnnlib,0,unsat,0.36,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d.onnx,vnnlib/cardinality_0_500_128.vnnlib,0,unsat,1.49,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d.onnx,vnnlib/cardinality_0_750_128.vnnlib,0,unsat,1.58,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d.onnx,vnnlib/cardinality_0_1000_128.vnnlib,0,unsat,1.96,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d.onnx,vnnlib/cardinality_0_2120_128.vnnlib,0,unsat,4.49,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d.onnx,vnnlib/cardinality_0_2680_128.vnnlib,0,unsat,6.16,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d.onnx,vnnlib/cardinality_0_3240_128.vnnlib,0,unsat,6.59,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d.onnx,vnnlib/cardinality_0_3800_128.vnnlib,0,unsat,7.49,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_1_128_dual.vnnlib,0,unsat,0.3,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_240_128_dual.vnnlib,0,unsat,5.02,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_360_128_dual.vnnlib,0,unsat,5.85,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_480_128_dual.vnnlib,0,unsat,9.41,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_600_128_dual.vnnlib,0,unsat,9.41,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_720_128_dual.vnnlib,0,unsat,15.8,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_840_128_dual.vnnlib,0,unsat,16.59,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_960_128_dual.vnnlib,0,unsat,15.37,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_2260_128_dual.vnnlib,0,unsat,40.45,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_2890_128_dual.vnnlib,0,unsat,51.02,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_3520_128_dual.vnnlib,0,unsat,67.98,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_4150_128_dual.vnnlib,0,unsat,84.57,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_4780_128_dual.vnnlib,0,unsat,83.97,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_5410_128_dual.vnnlib,0,unsat,93.54,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_6040_128_dual.vnnlib,0,unsat,101.53,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_6670_128_dual.vnnlib,0,unsat,117.78,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_7300_128_dual.vnnlib,0,unsat,134.06,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_7930_128_dual.vnnlib,0,unsat,144.22,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_8560_128_dual.vnnlib,0,unsat,121.35,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_9190_128_dual.vnnlib,0,unsat,156.12,l1audit-20260804-d1282d23
